name	chance_of_playing_next_round	chance_of_playing_this_round	news
Folarin Balogun	0	0	Transferred to Monaco
Marcus Oliveira Alencar	0	0	Season long loan to FC Nantes
Nicolas Pépé	0	0	Permanent move to Trabzonspor
Rúnar Alex Rúnarsson	0	0	Contract terminated
Kieran Tierney	0	0	Season long loan to Real Sociedad
Granit Xhaka	0	0	Transferred to Bayer Leverkusen
Jurriën Timber	0	0	Knee injury - Unknown return date
Charles Sagoe	0	0	Season-long loan to Swansea City
Bradley Ibrahim	0	0	Permanent transfer to Hertha Berlin
Emiliano Buendía Stati	0	0	Knee injury - Expected back 01 Jun
Matty Cash	75	75	Lack of match fitness - 75% chance of playing
Philippe Coutinho Correia	0	0	Joined Al-Duhail on loan for the rest of the season
Keinan Davis	0	0	Transferred to Udinese
Leander Dendoncker	0	0	Has joined Napoli on loan for the remainder of the season
Douglas Luiz Soares de Paulo	0	0	Suspended until 27 Apr
Boubacar Kamara	0	0	Knee injury - Expected back 14 Sep
Tyrone Mings	0	0	Knee injury - Expected back 01 Jun
Jaden Philogene-Bidace	0	0	Transferred to Hull City
Jacob Ramsey	0	0	Toe Injury - Expected back 01 Jun
Morgan Sanson	0	0	Joined OGC Nice on a season-long loan
Viljami Sinisalo	0	0	Joined Exeter City on a season-long loan
Bertrand Traoré	0	0	Contract terminated
Wesley Moraes Ferreira da Silva	0	0	Permanent transfer to Stoke
Filip Marschall	0	0	Joined Milton Keynes Dons on a season-long loan
Oliwier Zych	0	0	On loan to Puszcza Niepolomice
Clément Lenglet	75	75	Knock - 75% chance of playing
Tommi O'Reilly	0	0	On loan to Real Unión until the end of the season
Jaidon Anthony	0	0	Season-long loan to Leeds United
David Brooks	0	0	Joined Southampton on loan until the end of the season
Siriki Dembélé	0	0	Permanent Transfer to Birmingham
Ryan Fredericks	0	0	Calf injury - Unknown return date
Gavin Kilkenny	0	0	Season-long loan to Fleetwood Town
Jamal Lowe	0	0	Season-long loan to  Swansea City
Emiliano Marcondes	0	0	On loan to Hibernian until the end of the season
Chris Mepham	0	0	Illness - Expected back 21 Apr
Kieffer Moore	0	0	Season-long loan to Ipswich Town
Ben Pearson	0	0	Permanent transfer to Stoke City
Joe Rothwell	0	0	On loan to Southampton until the end of the season
Antoine Semenyo	0	0	Calf injury - Unknown return date
Marcus Tavernier	0	0	Hamstring injury - Expected back 11 May
Hamed Traorè	0	0	On loan to Napoli until the end of the season
Ben Greenwood	0	0	Season-long loan to Eastleigh
Tyler Adams	0	0	Back injury - Expected back 21 Apr
Luis Sinisterra	50	0	Hamstring injury - 50% chance of playing
Kristoffer Ajer	75	100	Calf injury - 75% chance of playing
Mads Bech Sørensen	0	0	Transferred to Midtjylland
Mads Bidstrup	0	0	Transfer to Red Bull Salzburg on a permanent basis
Sergi Canós Tenés	0	0	Permanent transfer to Valencia
Matthew Cox	0	0	On loan to Bristol Rovers for the season
Josh Dasilva	0	0	Knee injury - Expected back 01 Jun
Halil Dervişoğlu	0	0	Transfer to Galatasaray on a permanent basis
Charlie Goode	0	0	On loan to Wigan Athletic until the end of the season
Rico Henry	0	0	Knee injury - Expected back 01 Jun
Aaron Hickey	0	0	Hamstring injury - Unknown return date
Ben Mee	0	0	Ankle injury - Expected back 01 Jun
Christian Nørgaard	0	0	Back injury - Unknown return date
Ryan Trevitt	0	0	Season long loan to Exeter
Michael Olakigbe	0	0	Joins Peterborough United on loan until the end of the season
Myles Peart-Harris	0	0	On loan to Portsmouth until the end of the season
Steven Alzate	0	0	Season long loan to Standard Liège
Yasin Ayari	0	0	Season-long loan to Coventry City
Aaron Connolly	0	0	Permanent move to Hull City
Mahmoud Dahoud	0	0	Joined Stuttgart on loan for the rest of the season
Julio Enciso	0	0	Knock - Unknown return date
Pervis Estupiñán	75	100	Ankle injury - 75% chance of playing
Evan Ferguson	0	0	Ankle injury - Unknown return date
Billy Gilmour	0	0	Knee injury - Expected back 25 Apr
Michał Karbownik	0	0	Permanent transfer to Hertha BSC
Kacper Kozłowski	0	0	Joined vitesse on a season long loan
Tariq Lamptey	0	0	Knock - Unknown return date
Solly March	0	0	Knee injury - Unknown return date
James Milner	0	0	Muscle injury - Expected back 25 Apr
Kaoru Mitoma	0	0	Back injury - Expected back 19 May
Jeremy Sarmiento Morante	0	0	Joined West Bromwich Albion on a season-long loan
Kjell Scherpen	0	0	Joined Sturm Graz on a season-long loan
Deniz Undav	0	0	Season long loan to Stuttgart
Adam Webster	0	0	Muscle injury - Expected back 25 Apr
Andi Zeqiri	0	0	Permanent transfer to Genk
Jack Hinshelwood	0	0	Foot injury - Unknown return date
Ameen Al-Dakhil	25	25	Unknown - 25% chance of playing
Samuel Bastien	0	0	Has joined Kasimpasa S.K. on loan
Jordan Beyer	25	25	Knock - 25% chance of playing
Darko Churlinov	0	0	On loan to Schalke 04 until the end of the season
Dara Costelloe	0	0	Season long loan to St Johnstone
CJ Egan-Riley	0	0	Season-long loan to PSV Eindhoven
Hjalmar Ekdal	75	100	Knock - 75% chance of playing
Denis Franchi	0	0	Permanent transfer to Ternana
Luke McNally	0	0	Season long loan to Stoke City
Michael Obafemi	0	0	Joined Millwall until the end of the season
Bailey Peacock-Farrell	0	0	Joined Aarhus on loan
Connor Roberts	0	0	Season-long loan to Leeds United
Bobby Thomas	0	0	Permanent transfer to Coventry
Scott Twine	0	0	Season long loan to Hull
Wout Weghorst	0	0	On loan to Hoffenheim
Anass Zaroury	0	0	Season-long loan to Hull City
Nathan Redmond	0	0	Leg injury - Expected back 01 Jul
Luca Koleosho	0	0	Knee injury - Expected back 19 May
Owen Dodgson	0	0	Season-long loan to Barnsley
Aaron Ramsey	0	0	Knee injury - Expected back 16 Nov
Han-Noah Massengo	25	25	Unknown - 25% chance of playing
Robert Sánchez	50	50	Illness - 50% chance of playing
Ethan Ampadu	0	0	Permanent transfer to Leeds Utd
Andrey Nascimento dos Santos	0	0	Season-long loan to Strasbourg
Kepa Arrizabalaga	0	0	One year loan deal to Real Madrid
Pierre-Emerick Aubameyang	0	0	
César Azpilicueta	0	0	Left the club as a free agent
Abdul Rahman Baba	0	0	Permanent Transfer to PAOK
Ben Chilwell	75	75	Lack of match fitness - 75% chance of playing
Levi Colwill	0	0	Toe Injury - Unknown return date
Enzo Fernández	50	50	Knock - 50% chance of playing
Wesley Fofana	0	0	Knee injury - Unknown return date
Reece James	0	0	Hamstring injury - Unknown return date
Romelu Lukaku Bolingoli	0	0	Season-long loan to Roma
Christopher Nkunku	0	0	Hamstring injury - Unknown return date
Christian Pulisic	0	0	Permanent transfer to AC Milan
Gabriel Słonina	0	0	Season long loan to KAS Eupen
Raheem Sterling	50	50	Illness - 50% chance of playing
Hakim Ziyech	0	0	Season long loan to Galatasaray
Ângelo Gabriel Borges Damaceno	0	0	Season long loan to Strasbourg until the end of the season
Ian Maatsen	0	0	On loan to Borussia Dortmund until the end of the season
Axel Disasi	50	50	Knock - 50% chance of playing
Lesley Ugochukwu	0	0	Hamstring injury - Expected back 19 May
Mason Burstow	0	0	Season-long loan to Sunderland
Lucas Bergström	0	0	On loan to Brommapojkarna for the rest of the season
Roméo Lavia	0	0	Thigh injury - Expected back 01 Jun
Bashir Humphreys	0	0	Season-long loan to Swansea City
Eddie Beach	0	0	On loan to National League side Gateshead until the end of the season
Alex Matos	0	0	On loan to Huddersfield Town until the end of the season
Rob Holding	0	0	Ankle injury - Unknown return date
Cheick Doucouré	0	0	Achilles injury - Expected back 19 May
Malcolm Ebiowei	0	0	Season-long loan to RWD Molenbeek
Vicente Guaita	0	0	Signed for Celta Vigo
Marc Guéhi	0	0	Knee injury - Expected back 27 Apr
Sam Johnstone	0	0	Arm injury - Expected back 01 Jun
Jake O'Brien	0	0	Permanent transfer to Lyon
Luke Plange	0	0	Half season loan to Carlisle United, expected back in January
Chris Richards	0	0	Knock - Expected back 27 Apr
Jairo Riedewald	75	75	Lack of match fitness - 75% chance of playing
Matheus França de Oliveira	0	0	Groin Injury - Unknown return date
Jesurun Rak-Sakyi	50	50	Hamstring injury - 50% chance of playing
John-Kymani Gordon	0	0	Season-long loan to Cambridge United
Ademola Ola-Adebomi	0	0	Joined Burton Albion until the end of the season
Tayo Adaramola	0	0	Joined Belgian club RWD Molenbeek on loan until the end of the season
Dominic Calvert-Lewin	75	75	Hamstring injury - 75% chance of playing
Dele Alli	0	0	Groin Injury - Unknown return date
James Garner	75	75	Knock - 75% chance of playing
Jean-Philippe Gbamin	0	0	Contract cancelled
Demarai Gray	0	0	Permanent transfer to Al-Ettifaq
Amadou Onana	75	75	Knock - 75% chance of playing
Ellis Simms	0	0	Transferred to Coventry City
Arnaut Danjuma Groeneveld	75	75	Lack of match fitness - 75% chance of playing
Lewis Dobbin	0	0	Ankle injury - Unknown return date
Thomas Cannon	0	0	Transferred to Leicester City
Elijah Campbell	0	0	Season-long loan to Fleetwood Town
Ivan Neves Abreu Cavaleiro	0	0	Permanent transfer to Lille
Tyrese Francois	0	0	Season-long loan to Vejle Boldklub
