name	chance_of_playing_next_round	chance_of_playing_this_round	news
Folarin Balogun	0	0.0	Transferred to Monaco
Marcus Oliveira Alencar	0	0.0	Season long loan to FC Nantes
Nicolas Pépé	0	0.0	Permanent move to Trabzonspor
Rúnar Alex Rúnarsson	0	0.0	Contract terminated
Kieran Tierney	0	0.0	Season long loan to Real Sociedad
Granit Xhaka	0	0.0	Transferred to Bayer Leverkusen
Jurriën Timber	75	75.0	Lack of match fitness - 75% chance of playing
Charles Sagoe	0	0.0	Season-long loan to Swansea City
Bradley Ibrahim	0	0.0	Permanent transfer to Hertha Berlin
Alexandre Moreno Lopera	50	0.0	Calf injury - 50% chance of playing
Emiliano Buendía Stati	0	0.0	Knee injury - Expected back 01 Jun
Philippe Coutinho Correia	0	0.0	Joined Al-Duhail on loan for the rest of the season
Keinan Davis	0	0.0	Transferred to Udinese
Leander Dendoncker	0	0.0	Has joined Napoli on loan for the remainder of the season
Boubacar Kamara	0	0.0	Knee injury - Expected back 14 Sep
Emiliano Martínez Romero	75	100.0	Hamstring injury - 75% chance of playing
Tyrone Mings	0	0.0	Knee injury - Expected back 01 Jun
Jaden Philogene-Bidace	0	0.0	Transferred to Hull City
Jacob Ramsey	0	0.0	Toe Injury - Expected back 01 Jun
Morgan Sanson	0	0.0	Joined OGC Nice on a season-long loan
Viljami Sinisalo	0	0.0	Joined Exeter City on a season-long loan
Youri Tielemans	75	100.0	Groin Injury - 75% chance of playing
Bertrand Traoré	0	0.0	Contract terminated
Wesley Moraes Ferreira da Silva	0	0.0	Permanent transfer to Stoke
Filip Marschall	0	0.0	Joined Milton Keynes Dons on a season-long loan
Nicolò Zaniolo	75	0.0	Knock - 75% chance of playing
Oliwier Zych	0	0.0	On loan to Puszcza Niepolomice
Tommi O'Reilly	0	0.0	On loan to Real Unión until the end of the season
Jaidon Anthony	0	0.0	Season-long loan to Leeds United
David Brooks	0	0.0	Joined Southampton on loan until the end of the season
Siriki Dembélé	0	0.0	Permanent Transfer to Birmingham
Ryan Fredericks	0	0.0	Calf injury - Unknown return date
Gavin Kilkenny	0	0.0	Season-long loan to Fleetwood Town
Jamal Lowe	0	0.0	Season-long loan to  Swansea City
Emiliano Marcondes	0	0.0	On loan to Hibernian until the end of the season
Chris Mepham	0	0.0	Illness - Unknown return date
Kieffer Moore	0	0.0	Season-long loan to Ipswich Town
Ben Pearson	0	0.0	Permanent transfer to Stoke City
Joe Rothwell	0	0.0	On loan to Southampton until the end of the season
Antoine Semenyo	50	100.0	Knee injury - 50% chance of playing
Marcus Tavernier	0	0.0	Hamstring injury - Expected back 11 May
Hamed Traorè	0	0.0	On loan to Napoli until the end of the season
Milos Kerkez	0	0.0	Suspended until 19 May
Ben Greenwood	0	0.0	Season-long loan to Eastleigh
Tyler Adams	0	0.0	Back injury - Unknown return date
Luis Sinisterra	0	0.0	Hamstring injury - Expected back 19 May
Romain Faivre	0	0.0	Hamstring injury - Expected back 19 May
Mads Bech Sørensen	0	0.0	Transferred to Midtjylland
Mads Bidstrup	0	0.0	Transfer to Red Bull Salzburg on a permanent basis
Sergi Canós Tenés	0	0.0	Permanent transfer to Valencia
Matthew Cox	0	0.0	On loan to Bristol Rovers for the season
Josh Dasilva	0	0.0	Knee injury - Expected back 01 Jun
Halil Dervişoğlu	0	0.0	Transfer to Galatasaray on a permanent basis
Charlie Goode	0	0.0	On loan to Wigan Athletic until the end of the season
Rico Henry	0	0.0	Knee injury - Expected back 01 Jun
Aaron Hickey	0	0.0	Hamstring injury - Expected back 01 Jun
Ben Mee	0	0.0	Ankle injury - Expected back 01 Jun
Ryan Trevitt	0	0.0	Season long loan to Exeter
Michael Olakigbe	0	0.0	Joins Peterborough United on loan until the end of the season
Myles Peart-Harris	0	0.0	On loan to Portsmouth until the end of the season
Steven Alzate	0	0.0	Season long loan to Standard Liège
Yasin Ayari	0	0.0	Season-long loan to Coventry City
Aaron Connolly	0	0.0	Permanent move to Hull City
Mahmoud Dahoud	0	0.0	Joined Stuttgart on loan for the rest of the season
Pervis Estupiñán	0	0.0	Ankle injury - Expected back 01 Jun
Evan Ferguson	0	0.0	Ankle injury - Expected back 01 Jun
Michał Karbownik	0	0.0	Permanent transfer to Hertha BSC
Kacper Kozłowski	0	0.0	Joined vitesse on a season long loan
Tariq Lamptey	0	0.0	Knock - Unknown return date
Solly March	0	0.0	Knee injury - Expected back 01 Jun
James Milner	25	25.0	Muscle injury - 25% chance of playing
Kaoru Mitoma	0	0.0	Back injury - Expected back 01 Jun
Jeremy Sarmiento Morante	0	0.0	Joined West Bromwich Albion on a season-long loan
Kjell Scherpen	0	0.0	Joined Sturm Graz on a season-long loan
Deniz Undav	0	0.0	Season long loan to Stuttgart
Jan Paul van Hecke	75		Hamstring injury - 75% chance of playing
Andi Zeqiri	0	0.0	Permanent transfer to Genk
Jack Hinshelwood	0	0.0	Foot injury - Expected back 01 Jun
Ameen Al-Dakhil	0	0.0	Unknown - Expected back 01 Jun
Samuel Bastien	0	0.0	Has joined Kasimpasa S.K. on loan
Jordan Beyer	0	0.0	Unknown - Expected back 01 Jun
Darko Churlinov	0	0.0	On loan to Schalke 04 until the end of the season
Dara Costelloe	0	0.0	Season long loan to St Johnstone
CJ Egan-Riley	0	0.0	Season-long loan to PSV Eindhoven
Denis Franchi	0	0.0	Permanent transfer to Ternana
Luke McNally	0	0.0	Season long loan to Stoke City
Michael Obafemi	0	0.0	Joined Millwall until the end of the season
Bailey Peacock-Farrell	0	0.0	Joined Aarhus on loan
Connor Roberts	0	0.0	Season-long loan to Leeds United
Bobby Thomas	0	0.0	Permanent transfer to Coventry
Scott Twine	0	0.0	Season long loan to Hull
Wout Weghorst	0	0.0	On loan to Hoffenheim
Anass Zaroury	0	0.0	Season-long loan to Hull City
Nathan Redmond	0	0.0	Leg injury - Expected back 01 Jul
Luca Koleosho	0	0.0	Knee injury - Expected back 19 May
Owen Dodgson	0	0.0	Season-long loan to Barnsley
Aaron Ramsey	0	0.0	Knee injury - Expected back 16 Nov
Robert Sánchez	25	25.0	Lack of match fitness - 25% chance of playing
Ethan Ampadu	0	0.0	Permanent transfer to Leeds Utd
Andrey Nascimento dos Santos	0	0.0	Season-long loan to Strasbourg
Kepa Arrizabalaga	0	0.0	One year loan deal to Real Madrid
Pierre-Emerick Aubameyang	0	0.0	
César Azpilicueta	0	0.0	Left the club as a free agent
Abdul Rahman Baba	0	0.0	Permanent Transfer to PAOK
Ben Chilwell	25	25.0	Knee injury - 25% chance of playing
Carney Chukwuemeka	25	25.0	Knee injury - 25% chance of playing
Levi Colwill	25	25.0	Lack of match fitness - 25% chance of playing
Enzo Fernández	0	0.0	Groin Injury - Expected back 01 Jun
Wesley Fofana	0	0.0	Knee injury - Expected back 01 Jun
Malo Gusto	25	25.0	Knee injury - 25% chance of playing
Reece James	25	25.0	Lack of match fitness - 25% chance of playing
